budget,genres,id,keywords,original_language,popularity,production_companies,production_countries,revenue,runtime,status,title,vote_average,vote_count,cast,year,director,producer
90000000,Science Fiction,2067,Science Fiction,en,16.058284,Spyglass Entertainment | The Jacobson Company | Touchstone Pictures | Red Horizon Productions,United States of America,60874615,114.0,Released,Mission to Mars,5.7,369,Gary Sinise | Tim Robbins,2000,Brian De Palma,Sam Mercer
90000000,Science Fiction | Action | Drama | Thriller,10357,Science Fiction | Action | Drama | Thriller,en,19.836124,Twentieth Century Fox Film Corporation,United States of America,0,104.0,Released,Volcano,5.2,376,Tommy Lee Jones | Anne Heche,1997,Mick Jackson,Neal H. Moritz
90000000,Crime | Thriller | Drama,4477,Crime | Thriller | Drama,en,15.350451,Columbia Pictures,United States of America,140807547,107.0,Released,The Devil's Own,5.9,290,Harrison Ford | Brad Pitt,1997,Alan J. Pakula,Lawrence Gordon
20000000,Adventure | Fantasy | Action,9387,Adventure | Fantasy | Action,en,31.802807,Universal Pictures | Dino De Laurentiis Company,United States of America,79114085,129.0,Released,Conan the Barbarian,6.6,650,Arnold Schwarzenegger | James Earl Jones,1982,John Milius,Dino De Laurentiis
88000000,Romance | Drama | History,921,Romance | Drama | History,en,24.100863,Miramax Films | Imagine Entertainment | Universal Pictures | Parkway Pictures (I) | Touchstone Pictures,United States of America,108539911,144.0,Released,Cinderella Man,7.3,616,Russell Crowe | Renée Zellweger,2005,Ron Howard,Brian Grazer
90000000,Fantasy | Action | Family,49852,Fantasy | Action | Family,en,3.593349,Vnesheconombank | Nutcracker Holdings | HCC Media Group | Russian Roulette Ltd.,United Kingdom | Hungary,16178959,110.0,Released,The Nutcracker: The Untold Story,5.4,50,Elle Fanning | Nathan Lane,2010,Andrei Konchalovsky,
87000000,Drama | History,4464,Drama | History,en,14.824166,Universal Pictures | Spyglass Entertainment | The Kennedy/Marshall Company | DreamWorks Pictures | Touchstone Pictures,United States of America,148336445,141.0,Released,Seabiscuit,6.7,216,Jeff Bridges | David McCullough,2003,Gary Ross,Frank Marshall
75000000,Adventure | Action | Thriller,52451,Adventure | Action | Thriller,en,36.605246,Impact Pictures | Studio Babelsberg | Nouvelles Éditions de Films (NEF) | New Legacy | Constantin Film Produktion,United States of America | Germany | France | United Kingdom,132274484,110.0,Released,The Three Musketeers,5.6,924,Milla Jovovich | Orlando Bloom,2011,Paul W.S. Anderson,Paul W.S. Anderson
85000000,Action | Thriller,59961,Action | Thriller,en,34.773106,Universal Pictures | Dentsu | Relativity Media | Bluegrass Films,United States of America,208076205,115.0,Released,Safe House,6.3,1345,Denzel Washington | Ryan Reynolds,2012,Daniel Espinosa,Denzel Washington
85000000,Comedy | Family,10481,Comedy | Family,en,9.895061,Walt Disney Pictures | Cruella Productions,United States of America,183611771,100.0,Released,102 Dalmatians,5.1,313,Glenn Close | Ioan Gruffudd,2000,Kevin Lima,Edward S. Feldman
75000000,Action | Comedy,59108,Action | Comedy,en,36.743324,Universal Pictures | Image Entertainment | Relativity Media | Rat Entertainment,United States of America,152930623,104.0,Released,Tower Heist,5.8,932,Ben Stiller | Eddie Murphy,2011,Brett Ratner,Brian Grazer
85000000,Comedy | Romance,1581,Comedy | Romance,en,44.967453,Columbia Pictures | Universal Pictures | Waverly Films | Relativity Media,United Kingdom | United States of America,194168700,136.0,Released,The Holiday,6.7,1225,Cameron Diaz | Kate Winslet,2006,Nancy Meyers,Nancy Meyers
85000000,Comedy | Romance,22897,Comedy | Romance,en,16.479851,Universal Pictures | Scott Rudin Productions | Waverly Films | Dentsu | Relativity Media,United States of America,219103655,121.0,Released,It's Complicated,6.2,360,Meryl Streep | Alec Baldwin,2009,Nancy Meyers,Scott Rudin
85000000,Adventure | Animation | Family,7484,Adventure | Animation | Family,en,26.61951,Sony Pictures Animation,United States of America,197309027,83.0,Released,Open Season,6.1,656,Martin Lawrence | Ashton Kutcher,2006,Jill Culton,
68000000,War,853,War,en,41.273567,Paramount Pictures | Swanford Films | Mandalay Pictures | Little Bird | KC Medien | Reperage | DOS | MP Film Management,Ireland | United States of America | Germany | United Kingdom,96976270,131.0,Released,Enemy at the Gates,7.2,999,Jude Law | Rachel Weisz,2001,Jean-Jacques Annaud,Jean-Jacques Annaud
85000000,Adventure | Action | Comedy | Thriller,10159,Adventure | Action | Comedy | Thriller,en,24.107835,Columbia Pictures | Universal Pictures | Strike Entertainment | WWE Studios | Misher Films | IM3 Entertainment,United States of America,80916492,104.0,Released,The Rundown,6.4,514,Dwayne Johnson | Seann William Scott,2003,Peter Berg,Marc Abraham
85000000,Adventure | Fantasy | Action | Comedy | Family,9593,Adventure | Fantasy | Action | Comedy | Family,en,32.044191,Columbia Pictures Corporation | Oak Productions,United States of America,137298489,130.0,Released,Last Action Hero,6.1,712,Arnold Schwarzenegger | F. Murray Abraham,1993,John McTiernan,John McTiernan
85000000,Drama | History | Romance,1904,Drama | History | Romance,en,16.595874,DreamWorks SKG | Spyglass Entertainment | Columbia Pictures Corporation | Red Wagon Productions,United States of America,162242962,145.0,Released,Memoirs of a Geisha,7.3,652,Zhang Ziyi | Gong Li,2005,Rob Marshall,Steven Spielberg
85000000,Action | Crime | Drama | Thriller,9615,Action | Crime | Drama | Thriller,en,8.282876,Universal Pictures,Japan | United States of America,158468292,104.0,Released,The Fast and the Furious: Tokyo Drift,6.1,1705,Lucas Black | Nathalie Kelley,2006,Justin Lin,Clayton Townsend
0,Drama | Animation | Family | Comedy,51052,Drama | Animation | Family | Comedy,en,19.83683,Columbia Pictures | Aardman Animations | Sony Pictures Animation,United States of America,0,97.0,Released,Arthur Christmas,6.7,333,James McAvoy | Hugh Laurie,2011,Barry Cook,Peter Lord
85000000,Action | Thriller | Drama,9884,Action | Thriller | Drama,en,18.827753,David Foster Productions | Bel Air Entertainment | Warner Bros. | Hacienda Productions,United States of America,78382433,108.0,Released,Collateral Damage,5.5,427,Arnold Schwarzenegger | Francesca Neri,2002,Andrew Davis,Steven Reuther
0,Drama | Music,16858,Drama | Music,en,5.159407,Twentieth Century Fox Film Corporation | Columbia Pictures Corporation,United States of America,37823676,123.0,Released,All That Jazz,7.3,85,Roy Scheider | Jessica Lange,1979,Bob Fosse,Kenneth Utt
85000000,Adventure | Fantasy | Drama | Comedy | Science Fiction | Family,62764,Adventure | Fantasy | Drama | Comedy | Science Fiction | Family,en,48.126297,Relativity Media | Misher Films | Yucaipa Films | Goldmann Pictures | Rat Entertainment | Misha Films,United States of America,183018522,106.0,Released,Mirror Mirror,5.5,1114,Julia Roberts | Lily Collins,2012,Tarsem Singh,Brett Ratner
60000000,Action | Thriller | Adventure | Science Fiction,9341,Action | Thriller | Adventure | Science Fiction,en,29.211255,Paramount Pictures | David Foster Productions | Horsepower Films | LivePlanet | Core Productions | Munich Film Partners New Century & Company (MFP) Core Productions,United States of America | Canada | Germany,74208267,136.0,Released,The Core,5.4,516,Aaron Eckhart | Hilary Swank,2003,Jon Amiel,Cooper Layne
84000000,Fantasy | Comedy | Romance | Science Fiction,12107,Fantasy | Comedy | Romance | Science Fiction,en,17.783361,Imagine Entertainment | Universal Pictures,United States of America,123307945,106.0,Released,Nutty Professor II: The Klumps,4.7,332,Eddie Murphy | Janet Jackson,2000,Peter Segal,Brian Grazer
8000000,Horror | Comedy | Fantasy,16281,Horror | Comedy | Fantasy,en,13.661289,Warner Bros. | Creepshow Films Inc. | Laurel Entertainment Inc.,United States of America,21028755,120.0,Released,Creepshow,6.7,226,Hal Holbrook | Adrienne Barbeau,1982,George A. Romero,Richard P. Rubinstein
85000000,Comedy | Family,39691,Comedy | Family,en,11.77398,Village Roadshow Pictures,United States of America | Australia,112483764,82.0,Released,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,119,James Marsden | Nick Nolte,2010,Brad Peyton,Andrew Lazar
85000000,Adventure | Fantasy | Science Fiction,11253,Adventure | Fantasy | Science Fiction,en,58.57976,Universal Pictures | Dark Horse Entertainment | Lawrence Gordon Productions | Mid Atlantic Films | Relativity Media | Internationale Filmproduktion Eagle,Germany | United States of America,160388063,120.0,Released,Hellboy II: The Golden Army,6.5,1527,Ron Perlman | Selma Blair,2008,Guillermo del Toro,Lawrence Gordon
82000000,Science Fiction,8452,Science Fiction,en,18.447479,Phoenix Pictures,United States of America,96085477,123.0,Released,The 6th Day,5.7,595,Arnold Schwarzenegger | Michael Rapaport,2000,Roger Spottiswoode,Arnold Schwarzenegger
80000000,Animation | Family,11544,Animation | Family,en,55.659988,Walt Disney Pictures | Walt Disney Feature Animation,United States of America,145771527,85.0,Released,Lilo & Stitch,7.1,1314,Chris Sanders | Daveigh Chase,2002,Chris Sanders,Clark Spencer
85000000,Comedy | Family | Fantasy,9986,Comedy | Family | Fantasy,en,14.132583,Paramount Pictures | Kerner Entertainment Company,Germany | United States of America,144000000,97.0,Released,Charlotte's Web,5.8,288,Julia Roberts | Steve Buscemi,2006,Gary Winick,Bernard Williams
75000000,Action | Drama | Romance,8656,Action | Drama | Romance,en,34.070054,Paramount Pictures | DreamWorks SKG | Zanuck/Brown Productions | Manhattan Project,United States of America,140464664,120.0,Released,Deep Impact,5.9,855,Robert Duvall | Téa Leoni,1998,Mimi Leder,Steven Spielberg
84000000,Action | Comedy | Crime | Thriller,146216,Action | Comedy | Crime | Thriller,en,44.34333,DC Comics | Di Bonaventura Pictures | Summit Entertainment | DC Entertainment,Canada | France | United States of America,0,116.0,Released,RED 2,6.4,1526,Bruce Willis | Catherine Zeta-Jones,2013,Dean Parisot,Lorenzo di Bonaventura
82000000,Comedy | Drama,9291,Comedy | Drama,en,26.065735,Paramount Pictures | Columbia Pictures Corporation | MTV Films | Happy Madison Productions | Callahan Filmworks,United States of America,190320568,113.0,Released,The Longest Yard,6.2,785,Adam Sandler | Chris Rock,2005,Peter Segal,Albert S. Ruddy
80000000,Action | Comedy | Thriller,11665,Action | Comedy | Thriller,en,23.496054,Village Roadshow Pictures | Atlas Entertainment | Mosaic Media Group | Mad Chance | Warner Bros. | WV Films IV | Mel's Cite du Cinema | Callahan Filmworks,Canada | Russia | United States of America,230685453,110.0,Released,Get Smart,6.0,1051,Steve Carell | Anne Hathaway,2008,Peter Segal,Charles Roven
80000000,Comedy | Romance | Drama,12193,Comedy | Romance | Drama,en,19.500893,New Line Cinema | Spyglass Entertainment | Type A Films | Ott Medien | Wild West Picture Show Productions,United States of America,163733697,88.0,Released,Four Christmases,5.3,331,Vince Vaughn | Reese Witherspoon,2008,Seth Gordon,Reese Witherspoon
80000000,Fantasy | Comedy | Family | Romance,10202,Fantasy | Comedy | Family | Romance,en,23.531721,Walt Disney Pictures | Happy Madison Productions | Gunn Films,United States of America,212874442,99.0,Released,Bedtime Stories,5.9,901,Adam Sandler | Keri Russell,2008,Adam Shankman,
80000000,Thriller | Crime | Drama,4147,Thriller | Crime | Drama,en,49.078546,DreamWorks SKG | The Zanuck Company | Twentieth Century Fox Film Corporation,United States of America,181001478,117.0,Released,Road to Perdition,7.3,1077,Tom Hanks | Tyler Hoechlin,2002,Sam Mendes,Sam Mendes
80000000,Romance | Comedy,50546,Romance | Comedy,en,37.02665,Columbia Pictures | Happy Madison Productions,United States of America,214918407,117.0,Released,Just Go with It,6.3,1543,Adam Sandler | Jennifer Aniston,2011,Dennis Dugan,Steve Koren
75000000,Action | Thriller | Crime,1701,Action | Thriller | Crime,en,45.154631,Jerry Bruckheimer Films | Kouf/Bigelow Productions | Touchstone Pictures | Hiett Designs of Las Vegas | Runway Pictures Inc,United States of America,224012234,115.0,Released,Con Air,6.5,1270,Nicolas Cage | John Cusack,1997,Simon West,Jerry Bruckheimer
80000000,Mystery | Thriller | Action,13027,Mystery | Thriller | Action,en,46.887983,DreamWorks SKG | K/O Paper Products | Goldcrest Pictures | KMP Film Invest,United States of America | Germany,178066569,118.0,Released,Eagle Eye,6.3,1018,Shia LaBeouf | Michelle Monaghan,2008,D.J. Caruso,Steven Spielberg
79000000,Drama,2289,Drama,en,24.598479,Miramax Films | Mirage Enterprises | Castel Film Romania | Bona Fide Productions | Cattleya,United States of America | United Kingdom | Romania | Italy,173013509,154.0,Released,Cold Mountain,6.7,533,Jude Law | Nicole Kidman,2003,Anthony Minghella,Bob Weinstein
80000000,Comedy | Family | Science Fiction,9574,Comedy | Family | Science Fiction,en,11.50396,Walt Disney Pictures | Great Oaks Entertainment,United States of America,177977226,93.0,Released,Flubber,5.3,695,Robin Williams | Marcia Gay Harden,1997,Les Mayfield,John Hughes
80000000,Horror | Thriller | Fantasy | Mystery,11618,Horror | Thriller | Fantasy | Mystery,en,19.375768,DreamWorks | Roth-Arnold Productions,United States of America,91188905,113.0,Released,The Haunting,5.2,369,Liam Neeson | Catherine Zeta-Jones,1999,Jan de Bont,Steven Spielberg
0,Action | Comedy | Crime | Mystery | Family,12096,Action | Comedy | Crime | Mystery | Family,en,25.450534,Columbia Pictures | International Production Company | The Montecito Picture Company | Robert Simonds Productions | Metro-Goldwyn-Mayer (MGM),United States of America,0,93.0,Released,The Pink Panther,5.6,550,Steve Martin | Kevin Kline,2006,Shawn Levy,Robert Simonds
75000000,Action | Drama | Mystery | Thriller,8834,Action | Drama | Mystery | Thriller,en,22.179658,Silver Pictures | Warner Bros. | Donner/Shuler-Donner Productions,United States of America,136982834,135.0,Released,Conspiracy Theory,6.5,431,Mel Gibson | Julia Roberts,1997,Richard Donner,Joel Silver
70000000,Action | Adventure | Comedy | Romance,6068,Action | Adventure | Comedy | Romance,en,18.264635,Caravan Pictures | Roger Birnbaum Productions | Northern Lights Entertainment | Touchstone Pictures,United States of America,164000000,98.0,Released,Six Days Seven Nights,5.6,332,Harrison Ford | Anne Heche,1998,Ivan Reitman,Roger Birnbaum
80000000,Comedy | Family | Animation | Adventure,41515,Comedy | Family | Animation | Adventure,en,11.187696,De Line Pictures | Warner Bros. Animation | Sunswept Entertainment | Rhythm and Hues | Picnic Basket,United States of America | New Zealand,201584141,80.0,Released,Yogi Bear,5.2,220,Dan Aykroyd | Justin Timberlake,2010,Eric Brevig,James Dyer
80000000,Western | Animation | Adventure | Comedy | Family,9023,Western | Animation | Adventure | Comedy | Family,en,41.670544,DreamWorks SKG | DreamWorks Animation,United States of America,122563539,83.0,Released,Spirit: Stallion of the Cimarron,7.4,831,Matt Damon | James Cromwell,2002,Kelly Asbury,Jeffrey Katzenberg
80000000,Comedy | Romance | Family,38317,Comedy | Romance | Family,en,27.46264,Columbia Pictures | Happy Madison Productions | Sony Pictures Releasing | Broken Road Productions | Metro-Goldwyn-Mayer (MGM) | Zookeeper Productions | Hey Eddie,United States of America,169852759,102.0,Released,Zookeeper,5.3,498,Kevin James | Rosario Dawson,2011,Frank Coraci,
80000000,Adventure | Family | Science Fiction,2157,Adventure | Family | Science Fiction,en,17.455024,New Line Cinema | Irwin Allen Productions | Prelude Pictures | Saltire Entertainment,United States of America,136159423,130.0,Released,Lost in Space,5.0,388,Gary Oldman | William Hurt,1998,Stephen Hopkins,Stephen Hopkins
80000000,Drama | Thriller | Mystery,14462,Drama | Thriller | Mystery,en,21.394281,Paramount Pictures | Scott Rudin Productions | Clinica Estetico,United States of America,96105964,129.0,Released,The Manchurian Candidate,6.2,393,Denzel Washington | Meryl Streep,2004,Jonathan Demme,Scott Rudin
0,Romance | Drama,161795,Romance | Drama,en,0.605645,"Rainbow Film Company, The | Revere Entertainment | Jagtoria Films",United States of America,0,117.0,Released,Déjà Vu,8.0,1,Stephen Dillane | Victoria Foyt,1998,Henry Jaglom,
80000000,Animation | Family | Music,49948,Animation | Family | Music,en,14.530946,Walt Disney Pictures,United States of America,90874570,74.0,Released,Fantasia 2000,7.0,292,Steve Martin | Itzhak Perlman,1999,James Algar,Donald W. Ernst
80000000,Science Fiction | Adventure | Action,2135,Science Fiction | Adventure | Action,en,25.978555,DreamWorks SKG | Warner Bros.,United States of America,123729176,96.0,Released,The Time Machine,5.8,631,Guy Pearce | Mark Addy,2002,Simon Wells,David Valdes
90000000,Action | Adventure | Family | Fantasy,9822,Action | Adventure | Family | Fantasy,en,6.643778,Walt Disney Pictures | RKO Pictures,United States of America,0,114.0,Released,Mighty Joe Young,5.9,208,Charlize Theron | Rade Serbedzija,1998,Ron Underwood,Tom Jacobson
75000000,Action | Adventure,1656,Action | Adventure,en,31.054334,Amblin Entertainment | Columbia Pictures Corporation,Mexico | United States of America,142400065,129.0,Released,The Legend of Zorro,5.9,893,Antonio Banderas | Catherine Zeta-Jones,2005,Martin Campbell,Lloyd Phillips
85000000,Drama | Fantasy | Romance,12159,Drama | Fantasy | Romance,en,21.891078,PolyGram Filmed Entertainment,New Zealand | United States of America,71485043,113.0,Released,What Dreams May Come,6.8,577,Robin Williams | Cuba Gooding Jr.,1998,Vincent Ward,Ronald Bass
85000000,Comedy | Fantasy | Romance,9678,Comedy | Fantasy | Romance,en,18.335992,New Line Cinema | Avery Pix | Happy Madison Productions,United States of America,0,90.0,Released,Little Nicky,5.2,438,Adam Sandler | Patricia Arquette,2000,Steven Brill,Jack Giarraputo
88000000,Adventure | Fantasy | Action | Comedy | Thriller,4442,Adventure | Fantasy | Action | Comedy | Thriller,en,40.138009,The Weinstein Company | Summit Entertainment | Atlas Entertainment | Mosaic Media Group | Reforma Films | Dimension Films | Metro-Goldwyn-Mayer (MGM) | Revolution Sun Studios,Czech Republic | United Kingdom | United States of America,105316267,118.0,Released,The Brothers Grimm,5.6,818,Heath Ledger | Matt Damon,2005,Terry Gilliam,Charles Roven
70000000,Comedy | Fantasy | Science Fiction,75,Comedy | Fantasy | Science Fiction,en,44.090535,Tim Burton Productions,United States of America,101371017,106.0,Released,Mars Attacks!,6.1,1509,Jack Nicholson | Glenn Close,1996,Tim Burton,Larry J. Franco
0,Mystery | Drama | Horror,330770,Mystery | Drama | Horror,fr,3.300061,Ex Nihilo | Canal+ | Les films du Worso | Noodles Production | Ciné+ | Scope Pictures | Le Tax Shelter du Gouvernement Fédéral de Belgique | Centre National de la Cinématographie (CNC) | Ministère de la Culture et de la Communication | Volcano Films | Left Field Ventures | Evo Films A.I.E. | Indéfilms 3 | Palatine Étoile 12 | Cinéfeel Prod,Belgium | France | Spain,0,81.0,Released,Evolution,6.4,47,Max Brebant | Roxane Duran,2015,Lucile Hadzihalilovic,Sylvie Pialat
0,Action | Adventure | Drama,9433,Action | Adventure | Drama,en,20.632673,Art Linson Productions,United States of America,43312294,117.0,Released,The Edge,6.7,349,Alec Baldwin | Anthony Hopkins,1997,Lee Tamahori,Lloyd Phillips
80000000,Action | Science Fiction | Thriller,19959,Action | Science Fiction | Thriller,en,36.664991,Touchstone Pictures | Mandeville Films | Wintergreen Productions | Top Shelf Productions,United States of America,122444772,89.0,Released,Surrogates,5.9,1195,Bruce Willis | Radha Mitchell,2009,Jonathan Mostow,David Hoberman
